,Algorithm,Alpha,Trial,Min_Error,Min_Error_Idx,Sum_Error
199,MPPS,5.0,11,0.1701206252023357,200,232.52075978948977
200,MPPS,10.0,11,0.16657923798336724,201,209.3869628933084
201,MPPS,15.0,11,0.16611605352962427,249,205.79775838768336
202,MPPS,20.0,11,0.16555734971247496,313,205.33502955080564
203,MPPS,25.0,11,0.17240913451307424,370,205.4843273386147
204,ADMM,1.0,11,2.341538258807803,2399,6880.981857519222
205,ADMM,10.0,11,0.16683696533953773,2399,2616.0829169525196
206,ADMM,100.0,11,0.1658995028713237,990,768.5193809457369
207,ADMM,125.0,11,0.16552528960090723,2399,729.4063752534491
208,ADMM,140.0,11,0.16506681332342837,1406,711.6037907419898
209,ADMM,145.0,11,0.16459993503726422,1450,706.5721755807618
210,ADMM,150.0,11,0.16442660776869142,1485,701.9741445386053
211,ADMM,155.0,11,0.1636984714350944,1294,697.5464840331352
212,ADMM,160.0,11,0.16246392992662828,1355,693.454266938711
213,ADMM,175.0,11,0.16109271077044968,1573,681.8447586054527
214,ADMM,200.0,11,0.16022443632221153,1868,665.3123107545963
215,ADMM,225.0,11,0.16021361668681222,2300,652.827191556557
216,MPPS,1.0,12,0.7455645231475249,799,1198.6573426392717
217,MPPS,5.0,12,0.27407437456861344,379,568.123412517278
218,MPPS,10.0,12,0.28719378392815914,271,479.327567682043
219,MPPS,15.0,12,0.2718077425009879,334,435.69200016873714
220,MPPS,20.0,12,0.26729981167546424,319,409.56800654872893
221,MPPS,25.0,12,0.2719100723817702,312,393.40679918720707
222,ADMM,1.0,12,2.507840858590117,2399,6828.921636054907
223,ADMM,10.0,12,1.761391327161282,2399,5096.794863180691
224,ADMM,100.0,12,0.3073125667787398,2044,2167.121514368453
225,ADMM,125.0,12,0.2963054830734361,1858,1996.8465251499526
226,ADMM,140.0,12,0.2976362138107637,1724,1926.502549385384
227,ADMM,145.0,12,0.2969704840587455,1573,1906.1663165051148
228,ADMM,150.0,12,0.2955306030539141,1585,1886.9105067176338
229,ADMM,155.0,12,0.2954818515792585,1580,1868.55704001118
230,ADMM,160.0,12,0.29510537446746243,1515,1851.6292599936282
231,ADMM,175.0,12,0.2887603227194454,1347,1804.4737941468463
232,ADMM,200.0,12,0.27902780132582283,1269,1739.3765226804253
233,ADMM,225.0,12,0.27314207185395595,1230,1684.1699545128706
234,MPPS,1.0,13,0.16541687338412656,346,264.7729742417521
235,MPPS,5.0,13,0.1693747628149015,116,224.3207330896643
236,MPPS,10.0,13,0.1573864783546835,150,216.55250111791713
237,MPPS,15.0,13,0.17709552686045543,242,213.04298130362648
238,MPPS,20.0,13,0.1777064630525799,153,212.27167185737449
239,MPPS,25.0,13,0.1751271595789676,153,212.75380344914998
240,ADMM,1.0,13,1.5317427961142676,2399,5216.37300161311
241,ADMM,10.0,13,0.17934894676106286,2399,1560.9844801652043
242,ADMM,100.0,13,0.18657158010719652,2136,730.3187593230365
243,ADMM,125.0,13,0.18880519417665823,493,715.1842055824891
244,ADMM,140.0,13,0.1879285209843048,483,707.8654283334848
