nf,rand,s,xnorm,IP_Deviation,IP_Mean_Deviation,MPPS_Deviation,MPPS_Mean_Deviation,MPPS_Deviation_Dist,MPPS_Mean_Deviation_Dist
0.03,randn,0,4.325554143438012,0.1478843650688754,0.022115365890342582,0.1261900823930091,0.019146508862426827,0.12803792485048468,0.019727593522116744
0.03,randn,1,4.406041733119355,0.3854670853376752,0.0531370683898459,0.28378739340161463,0.03937298971334665,0.2831141140984731,0.039321743716355044
0.03,randn,2,4.243841557773403,0.16931540918041663,0.025313341972062735,0.16006991540720347,0.022666869245127192,0.16329662507094317,0.023306740755893517
0.03,randn,3,4.1165067117232,0.14797669041052236,0.020031999570220418,0.1287625393775405,0.018886062985028977,0.12715890023634993,0.018893182716670735
0.03,randn,4,4.595381767559989,0.16254362417131632,0.022091185604446926,0.1570836176990601,0.021239368733764127,0.15738259069043264,0.02130522815545804
0.03,randn,5,4.494379907040973,0.16305921780630964,0.02497774031026247,0.19849081011887254,0.027439948673578806,0.2032943880875422,0.028182457174961057
0.03,randn,6,4.91452330434336,0.11571225137812903,0.017608598399799513,0.08868523168690753,0.014482997652430314,0.09534210127247808,0.015533277887750123
0.03,randn,7,4.447313134281031,0.10487244686776982,0.015621671671449658,0.13291827451286026,0.019681470701803556,0.1307390297798617,0.019431400208533733
0.03,randn,8,4.316129068281226,0.1848207609885715,0.02650112220881435,0.20645892781571576,0.027727027233111334,0.20504672135560342,0.028106607038841047
0.03,randn,9,4.731578678440141,0.16715292210798072,0.026170949386624988,0.12889447836811369,0.019520827254555853,0.1331776531368944,0.020086519098965586
0.03,randn,10,4.383660144621665,0.09260642951718168,0.014742313592292977,0.09100714184408117,0.013694964574708568,0.09404411672045769,0.014364935371028427
0.03,randn,11,4.538690677696633,0.11816152207066091,0.019142887692409457,0.10930582921314076,0.017383546140944565,0.11297724371631118,0.01791025543269061
0.03,randn,12,4.337525017696808,0.24126843552082122,0.03601409486668195,0.16237930629122638,0.023848434629672045,0.15941608224740433,0.02364977593653776
0.03,randn,13,4.226197519091246,0.11940587073099708,0.018420469377735258,0.12312513399730625,0.01777196038208164,0.12441063546843559,0.017990821010238016
0.03,randn,14,4.170205314502108,0.18011901884513767,0.025637505247397996,0.25130950369915117,0.03149789808940873,0.2544755266251024,0.0317523021833653
0.03,randn,15,4.064717488537586,0.14494380969785584,0.023536241844342717,0.09911578665879092,0.015614510039810044,0.10018925627214378,0.015779529463445373
0.03,randn,16,4.304981809777381,0.13291772641840477,0.01851515436783858,0.15436490433417693,0.02220139433245546,0.15968109887000403,0.023563831887157508
0.03,randn,17,4.565835761200652,0.13242249028390185,0.020573659082947664,0.10839622266763282,0.01760763988251075,0.11206425184942784,0.01827866314535393
0.03,randn,18,4.514135282318767,0.10194453152755414,0.016592324168915408,0.10502089664346924,0.017534210052651763,0.10681159464374315,0.0178737708625444
